cambridge_uni	aberdeenuni
aberdeenuni	cambridge_uni
edinburghuni	aberdeenuni
aberdeenuni	edinburghuni
imperialcollege	aberdeenuni
aberdeenuni	imperialcollege
kingscollegelon	aberdeenuni
aberdeenuni	kingscollegelon
lancasteruni	aberdeenuni
aberdeenuni	lancasteruni
livuni	aberdeenuni
aberdeenuni	livuni
aberdeenuni	qubelfast
sheffielduni	aberdeenuni
aberdeenuni	sheffielduni
swanseauni	aberdeenuni
aberdeenuni	swanseauni
unibirmingham	aberdeenuni
aberdeenuni	unibirmingham
uniofeastanglia	aberdeenuni
aberdeenuni	uniofeastanglia
uniofnottingham	aberdeenuni
aberdeenuni	uniofnottingham
uniofoxford	aberdeenuni
aberdeenuni	uniofoxford
aberdeenuni	universityleeds
uofglasgow	aberdeenuni
aberdeenuni	uofglasgow
dcu	athloneit
athloneit	dcu
itcarlow	athloneit
athloneit	itcarlow
limerickit	athloneit
athloneit	limerickit
maynoothuni	athloneit
athloneit	maynoothuni
mtu_cork	athloneit
athloneit	mtu_cork
mtu_kerry	athloneit
athloneit	mtu_kerry
nuigalway	athloneit
athloneit	nuigalway
rcsi_irl	athloneit
tcddublin	athloneit
athloneit	tcddublin
tudublin_bn	athloneit
ucc	athloneit
athloneit	ucc
athloneit	ucddublin
ul	athloneit
athloneit	ul
waterfordit	athloneit
athloneit	waterfordit
wearetudublin	athloneit
athloneit	wearetudublin
dcu	cambridge_uni
edinburghuni	cambridge_uni
imperialcollege	cambridge_uni
cambridge_uni	imperialcollege
lancasteruni	cambridge_uni
cambridge_uni	lancasteruni
limerickit	cambridge_uni
livuni	cambridge_uni
cambridge_uni	livuni
maynoothuni	cambridge_uni
mtu_cork	cambridge_uni
nuigalway	cambridge_uni
qubelfast	cambridge_uni
rcsi_irl	cambridge_uni
sheffielduni	cambridge_uni
cambridge_uni	sheffielduni
tcddublin	cambridge_uni
ucc	cambridge_uni
unibirmingham	cambridge_uni
uniofeastanglia	cambridge_uni
uniofnottingham	cambridge_uni
uniofoxford	cambridge_uni
cambridge_uni	uniofoxford
universityleeds	cambridge_uni
uofglasgow	cambridge_uni
cambridge_uni	uofglasgow
waterfordit	cambridge_uni
itcarlow	dcu
dcu	itcarlow
limerickit	dcu
dcu	limerickit
maynoothuni	dcu
dcu	maynoothuni
mtu_cork	dcu
dcu	mtu_cork
mtu_kerry	dcu
nuigalway	dcu
dcu	nuigalway
dcu	qubelfast
rcsi_irl	dcu
dcu	rcsi_irl
tcddublin	dcu
dcu	tcddublin
tudublin_bn	dcu
ucc	dcu
dcu	ucc
dcu	ucddublin
ul	dcu
dcu	ul
waterfordit	dcu
wearetudublin	dcu
dcu	wearetudublin
imperialcollege	edinburghuni
edinburghuni	imperialcollege
kingscollegelon	edinburghuni
edinburghuni	kingscollegelon
lancasteruni	edinburghuni
edinburghuni	lancasteruni
livuni	edinburghuni
edinburghuni	livuni
nuigalway	edinburghuni
qubelfast	edinburghuni
edinburghuni	qubelfast
rcsi_irl	edinburghuni
sheffielduni	edinburghuni
edinburghuni	sheffielduni
tcddublin	edinburghuni
ucddublin	edinburghuni
unibirmingham	edinburghuni
edinburghuni	unibirmingham
uniofeastanglia	edinburghuni
edinburghuni	uniofeastanglia
uniofnottingham	edinburghuni
edinburghuni	uniofnottingham
uniofoxford	edinburghuni
edinburghuni	uniofoxford
universityleeds	edinburghuni
uofglasgow	edinburghuni
edinburghuni	uofglasgow
kingscollegelon	imperialcollege
imperialcollege	kingscollegelon
lancasteruni	imperialcollege
imperialcollege	lancasteruni
livuni	imperialcollege
imperialcollege	livuni
maynoothuni	imperialcollege
qubelfast	imperialcollege
imperialcollege	qubelfast
sheffielduni	imperialcollege
imperialcollege	sheffielduni
ucc	imperialcollege
unibirmingham	imperialcollege
imperialcollege	unibirmingham
uniofeastanglia	imperialcollege
imperialcollege	uniofeastanglia
